11.217470169067383,22.9710955619812,34.252402782440186,45.66403913497925,57.29837250709534,68.4386637210846,79.49752879142761,90.64360356330872,101.89971709251404,113.93347072601318,125.56609272956848,137.20265078544617,148.78414845466614,160.6998906135559
"tensor(0.0040, device='cuda:0')","tensor(0.0037, device='cuda:0')","tensor(0.0036, device='cuda:0')","tensor(0.0032, device='cuda:0')","tensor(0.0031, device='cuda:0')","tensor(0.0030, device='cuda:0')","tensor(0.0029, device='cuda:0')","tensor(0.0028, device='cuda:0')","tensor(0.0028, device='cuda:0')","tensor(0.0027, device='cuda:0')","tensor(0.0027, device='cuda:0')","tensor(0.0027, device='cuda:0')","tensor(0.0027, device='cuda:0')","tensor(0.0026, device='cuda:0')"
330,601,724,1067,1114,1278,1352,1407,1442,1560,1559,1625,1569,1684
