100.94598031044006,232.51017141342163,362.17866802215576,491.0892424583435,619.5571451187134,747.069492816925,881.1580440998077,1010.2599766254425,1137.330810546875,1263.8924398422241,1389.6718411445618,1514.4828221797943,1637.188714504242,1759.3541917800903,1881.234769821167,2002.7173273563385,2124.1285173892975,2245.2227532863617,2366.048589706421,2486.85426735878
tensor(0.0003),tensor(0.0002),tensor(0.0002),tensor(0.0002),tensor(0.0002),tensor(0.0002),tensor(0.0002),tensor(0.0002),tensor(0.0002),tensor(0.0002),tensor(0.0002),tensor(0.0002),tensor(0.0002),tensor(0.0002),tensor(0.0002),tensor(0.0002),tensor(0.0003),tensor(0.0002),tensor(0.0002),tensor(0.0002)
2493,2876,3154,3122,3253,3262,3243,3262,3330,3354,3353,3346,3409,3338,3305,3396,3323,3361,3356,3364
11.231987237930298,22.156235218048096,33.32996702194214,44.445303440093994,55.45621681213379,67.4508445262909,78.43117070198059,89.64507389068604,100.8570191860199,112.57594203948975,123.8705542087555,139.37940645217896,155.81974077224731,172.22629165649414
"tensor(0.0014, device='cuda:0')","tensor(0.0013, device='cuda:0')","tensor(0.0011, device='cuda:0')","tensor(0.0011, device='cuda:0')","tensor(0.0010, device='cuda:0')","tensor(0.0010, device='cuda:0')","tensor(0.0009, device='cuda:0')","tensor(0.0009, device='cuda:0')","tensor(0.0010, device='cuda:0')","tensor(0.0009, device='cuda:0')","tensor(0.0009, device='cuda:0')","tensor(0.0009, device='cuda:0')","tensor(0.0009, device='cuda:0')","tensor(0.0009, device='cuda:0')"
2447,2683,2940,3033,3178,3279,3412,3458,3321,3498,3505,3545,3519,3552
