11.30730414390564,22.77936887741089,34.17828726768494,45.306819915771484,56.39053654670715,68.10595059394836,79.42186069488525,90.56949806213379,102.72535467147827,114.37693190574646,126.09650754928589,137.56884717941284,149.0000283718109,160.511962890625,171.73223304748535,183.0551142692566,194.7415521144867,205.7688865661621,216.93629717826843,228.1276581287384,239.31049990653992,250.3838996887207,261.7241988182068,273.3266134262085,284.3463478088379,295.5112097263336,307.17504262924194,318.49800300598145,329.67930364608765,341.4495196342468,352.7789399623871,365.2798595428467,377.07730770111084,388.4197494983673,400.2187297344208,412.44205713272095,424.30057096481323,435.7323362827301,447.0487036705017,458.570184469223,470.46375942230225,482.1061761379242,493.6122798919678,505.639892578125,517.1283738613129,528.8299558162689,540.2699267864227,551.6157431602478,563.2094120979309,575.2458164691925,586.5277073383331,598.0523233413696,609.8636202812195,621.5814290046692,633.2473955154419,645.4925270080566,657.393315076828,668.3846099376678,679.746054649353,691.9446947574615,703.1818482875824,714.5320816040039,726.2252452373505,737.5661280155182,748.7489924430847,760.1894638538361,771.5097579956055,782.8742661476135,794.0408017635345,805.4311256408691,816.731184720993,829.1286780834198,840.2900354862213,851.7189953327179,862.9004182815552,874.0127882957458,885.1968023777008,896.3008596897125,907.550183057785,918.8079402446747,930.0118055343628,941.303558588028,952.7902007102966,964.1538779735565,975.6961851119995,986.7142827510834,999.2786595821381,1010.4654676914215,1021.4656851291656,1032.9945437908173,1044.4790120124817,1056.0362882614136,1067.2424263954163,1078.5706567764282,1090.8557078838348,1101.8751454353333,1113.8500137329102,1124.9939949512482,1136.1013584136963,1147.3375990390778,1158.7742657661438,1169.8177926540375,1181.2148213386536,1193.6260221004486,1205.4234597682953,1216.7157564163208,1228.0369191169739,1239.8012328147888,1250.9151787757874,1262.198581457138,1273.7468285560608,1284.923678636551,1296.1553184986115,1307.328818321228,1318.6887748241425,1329.9666295051575,1341.5196621418,1352.8171713352203,1364.0814294815063,1375.2521522045135,1386.3628282546997,1397.581494808197,1409.3840610980988,1420.6503069400787,1432.189597606659,1443.8732686042786,1456.1772933006287,1468.4287881851196,1481.228405714035,1492.7143864631653,1506.7194583415985,1523.114904165268,1538.8337721824646,1554.5165712833405,1570.6666350364685,1587.501250743866,1604.2553510665894,1621.1030735969543,1637.738797903061,1654.577674627304,1671.471967458725,1688.0682022571564,1704.6619169712067,1721.193525314331,1738.055293083191,1754.61084151268,1770.9510650634766,1787.1821429729462,1803.1574602127075,1819.3574795722961,1836.0127067565918,1852.624323606491,1868.8283331394196,1885.5993010997772,1902.208158493042,1918.8108584880829,1935.1874101161957,1946.4881494045258,1962.504858493805,1979.0154275894165,1995.733515739441,2011.5691177845001,2027.9863290786743,2044.3439755439758,2060.978847026825,2073.1672201156616,2084.9510836601257,2096.3308885097504,2107.7538878917694,2119.337225675583,2131.5304205417633,2142.8004879951477,2154.0869081020355,2165.898049592972,2177.4051439762115,2188.836200237274,2200.9601566791534,2212.6193673610687,2224.3063929080963,2235.4984204769135,2246.990452528,2258.6033487319946,2269.936343431473,2281.268137693405,2292.3194172382355,2303.3883883953094,2315.2100977897644,2326.6542513370514,2338.0330884456635,2349.289231300354,2360.643136739731,2372.722644805908,2384.124944448471,2395.5075495243073,2406.6364181041718,2418.5677683353424,2430.454871416092,2442.7609074115753,2454.29855632782,2466.675323009491
"tensor(0.0018, device='cuda:0')","tensor(0.0017, device='cuda:0')","tensor(0.0017, device='cuda:0')","tensor(0.0015, device='cuda:0')","tensor(0.0013, device='cuda:0')","tensor(0.0012, device='cuda:0')","tensor(0.0012, device='cuda:0')","tensor(0.0011, device='cuda:0')","tensor(0.0012, device='cuda:0')","tensor(0.0010, device='cuda:0')","tensor(0.0010, device='cuda:0')","tensor(0.0009, device='cuda:0')","tensor(0.0009, device='cuda:0')","tensor(0.0010, device='cuda:0')","tensor(0.0009, device='cuda:0')","tensor(0.0008, device='cuda:0')","tensor(0.0008, device='cuda:0')","tensor(0.0008, device='cuda:0')","tensor(0.0008, device='cuda:0')","tensor(0.0008, device='cuda:0')","tensor(0.0008, device='cuda:0')","tensor(0.0008, device='cuda:0')","tensor(0.0008, device='cuda:0')","tensor(0.0008, device='cuda:0')","tensor(0.0007, device='cuda:0')","tensor(0.0007, device='cuda:0')","tensor(0.0008, device='cuda:0')","tensor(0.0007, device='cuda:0')","tensor(0.0007, device='cuda:0')","tensor(0.0008, device='cuda:0')","tensor(0.0007, device='cuda:0')","tensor(0.0008, device='cuda:0')","tensor(0.0008, device='cuda:0')","tensor(0.0008, device='cuda:0')","tensor(0.0008, device='cuda:0')","tensor(0.0008, device='cuda:0')","tensor(0.0007, device='cuda:0')","tensor(0.0008, device='cuda:0')","tensor(0.0008, device='cuda:0')","tensor(0.0008, device='cuda:0')","tensor(0.0009, device='cuda:0')","tensor(0.0008, device='cuda:0')","tensor(0.0009, device='cuda:0')","tensor(0.0008, device='cuda:0')","tensor(0.0010, device='cuda:0')","tensor(0.0008, device='cuda:0')","tensor(0.0009, device='cuda:0')","tensor(0.0009, device='cuda:0')","tensor(0.0009, device='cuda:0')","tensor(0.0009, device='cuda:0')","tensor(0.0009, device='cuda:0')","tensor(0.0009, device='cuda:0')","tensor(0.0010, device='cuda:0')","tensor(0.0013, device='cuda:0')","tensor(0.0009, device='cuda:0')","tensor(0.0010, device='cuda:0')","tensor(0.0010, device='cuda:0')","tensor(0.0009, device='cuda:0')","tensor(0.0009, device='cuda:0')","tensor(0.0010, device='cuda:0')","tensor(0.0009, device='cuda:0')","tensor(0.0011, device='cuda:0')","tensor(0.0009, device='cuda:0')","tensor(0.0010, device='cuda:0')","tensor(0.0010, device='cuda:0')","tensor(0.0010, device='cuda:0')","tensor(0.0009, device='cuda:0')","tensor(0.0010, device='cuda:0')","tensor(0.0010, device='cuda:0')","tensor(0.0010, device='cuda:0')","tensor(0.0010, device='cuda:0')","tensor(0.0010, device='cuda:0')","tensor(0.0010, device='cuda:0')","tensor(0.0010, device='cuda:0')","tensor(0.0010, device='cuda:0')","tensor(0.0011, device='cuda:0')","tensor(0.0012, device='cuda:0')","tensor(0.0012, device='cuda:0')","tensor(0.0012, device='cuda:0')","tensor(0.0012, device='cuda:0')","tensor(0.0012, device='cuda:0')","tensor(0.0013, device='cuda:0')","tensor(0.0013, device='cuda:0')","tensor(0.0013, device='cuda:0')","tensor(0.0016, device='cuda:0')","tensor(0.0013, device='cuda:0')","tensor(0.0013, device='cuda:0')","tensor(0.0014, device='cuda:0')","tensor(0.0013, device='cuda:0')","tensor(0.0014, device='cuda:0')","tensor(0.0013, device='cuda:0')","tensor(0.0013, device='cuda:0')","tensor(0.0014, device='cuda:0')","tensor(0.0013, device='cuda:0')","tensor(0.0014, device='cuda:0')","tensor(0.0014, device='cuda:0')","tensor(0.0013, device='cuda:0')","tensor(0.0014, device='cuda:0')","tensor(0.0013, device='cuda:0')","tensor(0.0014, device='cuda:0')","tensor(0.0013, device='cuda:0')","tensor(0.0014, device='cuda:0')","tensor(0.0013, device='cuda:0')","tensor(0.0013, device='cuda:0')","tensor(0.0015, device='cuda:0')","tensor(0.0014, device='cuda:0')","tensor(0.0014, device='cuda:0')","tensor(0.0014, device='cuda:0')","tensor(0.0014, device='cuda:0')","tensor(0.0015, device='cuda:0')","tensor(0.0015, device='cuda:0')","tensor(0.0015, device='cuda:0')","tensor(0.0014, device='cuda:0')","tensor(0.0014, device='cuda:0')","tensor(0.0013, device='cuda:0')","tensor(0.0013, device='cuda:0')","tensor(0.0015, device='cuda:0')","tensor(0.0014, device='cuda:0')","tensor(0.0015, device='cuda:0')","tensor(0.0014, device='cuda:0')","tensor(0.0014, device='cuda:0')","tensor(0.0016, device='cuda:0')","tensor(0.0017, device='cuda:0')","tensor(0.0014, device='cuda:0')","tensor(0.0015, device='cuda:0')","tensor(0.0013, device='cuda:0')","tensor(0.0016, device='cuda:0')","tensor(0.0015, device='cuda:0')","tensor(0.0015, device='cuda:0')","tensor(0.0015, device='cuda:0')","tensor(0.0014, device='cuda:0')","tensor(0.0015, device='cuda:0')","tensor(0.0014, device='cuda:0')","tensor(0.0017, device='cuda:0')","tensor(0.0015, device='cuda:0')","tensor(0.0015, device='cuda:0')","tensor(0.0016, device='cuda:0')","tensor(0.0015, device='cuda:0')","tensor(0.0016, device='cuda:0')","tensor(0.0013, device='cuda:0')","tensor(0.0016, device='cuda:0')","tensor(0.0016, device='cuda:0')","tensor(0.0015, device='cuda:0')","tensor(0.0015, device='cuda:0')","tensor(0.0015, device='cuda:0')","tensor(0.0016, device='cuda:0')","tensor(0.0015, device='cuda:0')","tensor(0.0016, device='cuda:0')","tensor(0.0014, device='cuda:0')","tensor(0.0016, device='cuda:0')","tensor(0.0017, device='cuda:0')","tensor(0.0018, device='cuda:0')","tensor(0.0018, device='cuda:0')","tensor(0.0018, device='cuda:0')","tensor(0.0018, device='cuda:0')","tensor(0.0018, device='cuda:0')","tensor(0.0017, device='cuda:0')","tensor(0.0018, device='cuda:0')","tensor(0.0019, device='cuda:0')","tensor(0.0018, device='cuda:0')","tensor(0.0019, device='cuda:0')","tensor(0.0020, device='cuda:0')","tensor(0.0019, device='cuda:0')","tensor(0.0019, device='cuda:0')","tensor(0.0020, device='cuda:0')","tensor(0.0023, device='cuda:0')","tensor(0.0019, device='cuda:0')","tensor(0.0019, device='cuda:0')","tensor(0.0020, device='cuda:0')","tensor(0.0022, device='cuda:0')","tensor(0.0020, device='cuda:0')","tensor(0.0020, device='cuda:0')","tensor(0.0019, device='cuda:0')","tensor(0.0021, device='cuda:0')","tensor(0.0018, device='cuda:0')","tensor(0.0020, device='cuda:0')","tensor(0.0018, device='cuda:0')","tensor(0.0018, device='cuda:0')","tensor(0.0019, device='cuda:0')","tensor(0.0020, device='cuda:0')","tensor(0.0018, device='cuda:0')","tensor(0.0020, device='cuda:0')","tensor(0.0020, device='cuda:0')","tensor(0.0021, device='cuda:0')","tensor(0.0022, device='cuda:0')","tensor(0.0019, device='cuda:0')","tensor(0.0021, device='cuda:0')","tensor(0.0018, device='cuda:0')","tensor(0.0021, device='cuda:0')","tensor(0.0020, device='cuda:0')","tensor(0.0020, device='cuda:0')","tensor(0.0020, device='cuda:0')","tensor(0.0021, device='cuda:0')","tensor(0.0021, device='cuda:0')","tensor(0.0021, device='cuda:0')","tensor(0.0022, device='cuda:0')","tensor(0.0020, device='cuda:0')","tensor(0.0020, device='cuda:0')","tensor(0.0020, device='cuda:0')","tensor(0.0026, device='cuda:0')"
1376,1561,1839,2382,2665,2919,3002,3058,2956,3337,3353,3377,3522,3363,3362,3687,3598,3683,3673,3717,3726,3759,3744,3757,3773,3800,3700,3817,3834,3839,3833,3780,3806,3799,3768,3837,3887,3777,3829,3798,3795,3858,3803,3851,3709,3835,3864,3864,3813,3820,3840,3831,3822,3621,3833,3758,3849,3815,3833,3843,3857,3834,3883,3845,3864,3831,3879,3896,3828,3859,3891,3888,3857,3830,3810,3892,3896,3900,3899,3890,3909,3905,3875,3918,3868,3918,3903,3915,3882,3896,3911,3915,3928,3944,3892,3918,3925,3891,3923,3921,3950,3885,3919,3896,3863,3922,3924,3927,3879,3885,3878,3861,3899,3904,3933,3897,3921,3915,3855,3903,3921,3882,3904,3896,3892,3894,3925,3929,3898,3893,3925,3865,3942,3904,3924,3907,3930,3862,3933,3925,3841,3908,3898,3892,3911,3922,3895,3919,3923,3911,3944,3938,3942,3932,3908,3900,3961,3943,3914,3902,3940,3937,3946,3936,3927,3840,3932,3908,3924,3934,3895,3931,3910,3921,3915,3926,3919,3926,3931,3928,3908,3908,3916,3942,3855,3899,3911,3915,3925,3932,3938,3886,3927,3920,3924,3916,3927,3945,3933,3862
